[11-Mar-2015 03:42:10 UTC] PHP Fatal error:  Class 'App\Controller\TableRegistry' not found in /home/ubuntu/workspace/webmimics/src/Controller/CategoriesController.php on line 39
[11-Mar-2015 03:47:20 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 1
[11-Mar-2015 03:48:37 UTC] PHP Fatal error:  Cannot use object of type Cake\ORM\Query as array in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 2
[11-Mar-2015 04:06:59 UTC] PHP Parse error:  syntax error, unexpected 'name' (T_STRING), expecting ')' in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 8
[11-Mar-2015 04:07:16 UTC] PHP Parse error:  syntax error, unexpected 'name' (T_STRING), expecting ')' in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 8
[11-Mar-2015 04:07:27 UTC] PHP Parse error:  syntax error, unexpected 'Create' (T_STRING), expecting ')' in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 9
[11-Mar-2015 04:09:15 UTC] PHP Parse error:  syntax error, unexpected 'name' (T_STRING), expecting ')' in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 8
[11-Mar-2015 04:11:24 UTC] PHP Fatal error:  [Cake\View\Exception\MissingHelperException] Helper class FormHelperHelper could not be found.
#0 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/Core/ObjectRegistry.php(86): Cake\View\HelperRegistry->_throwMissingClassError('FormHelper', NULL)
#1 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/View/View.php(846): Cake\Core\ObjectRegistry->load('FormHelper', Array)
#2 /home/ubuntu/workspace/webmimics/src/View/AppView.php(34): Cake\View\View->loadHelper('FormHelper')
#3 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/View/View.php(320): App\View\AppView->initialize()
#4 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/View/ViewVarsTrait.php(101): Cake\View\View->__construct(Object(Cake\Network\Request), Object(Cake\Network\Response), Object(Cake\Event\EventManager), Array)
#5 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/Error/ExceptionRenderer.php(330): Cake\Controller\Controller->createView()
#6 /home/ubuntu/workspace/webmimics/vendor/cakephp/cakep in /home/ubuntu/workspace/webmimics/vendor/cakephp/cakephp/src/Error/ErrorHandler.php on line 155
[11-Mar-2015 04:11:36 UTC] PHP Parse error:  syntax error, unexpected 'name' (T_STRING), expecting ')' in /home/ubuntu/workspace/webmimics/src/Template/Categories/index.ctp on line 8
[11-Mar-2015 04:18:44 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/webmimics/src/Controller/CategoriesController.php on line 44
[11-Mar-2015 21:45:06 UTC] PHP Parse error:  syntax error, unexpected '0' (T_LNUMBER), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/webmimics/src/Controller/CategoriesController.php on line 61
